fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479127/ERR479127_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479127/ERR479127_2.fastq.gz	ERR479127
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479133/ERR479133_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479133/ERR479133_2.fastq.gz	ERR479133
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479137/ERR479137_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479137/ERR479137_2.fastq.gz	ERR479137
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479143/ERR479143_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479143/ERR479143_2.fastq.gz	ERR479143
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479145/ERR479145_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479145/ERR479145_2.fastq.gz	ERR479145
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479146/ERR479146_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479146/ERR479146_2.fastq.gz	ERR479146
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479158/ERR479158_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479158/ERR479158_2.fastq.gz	ERR479158
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479166/ERR479166_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479166/ERR479166_2.fastq.gz	ERR479166
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479167/ERR479167_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479167/ERR479167_2.fastq.gz	ERR479167
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674114/ERR674114_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674114/ERR674114_2.fastq.gz	ERR674114
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674121/ERR674121_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674121/ERR674121_2.fastq.gz	ERR674121
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674131/ERR674131_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674131/ERR674131_2.fastq.gz	ERR674131
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674142/ERR674142_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674142/ERR674142_2.fastq.gz	ERR674142
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674146/ERR674146_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674146/ERR674146_2.fastq.gz	ERR674146
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674148/ERR674148_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674148/ERR674148_2.fastq.gz	ERR674148
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674156/ERR674156_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674156/ERR674156_2.fastq.gz	ERR674156
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674164/ERR674164_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR674/ERR674164/ERR674164_2.fastq.gz	ERR674164
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	ERR475467
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	ERR475471
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	ERR475473
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475477/ERR475477_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475477/ERR475477_2.fastq.gz	ERR475477
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475481/ERR475481_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475481/ERR475481_2.fastq.gz	ERR475481
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475491/ERR475491_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475491/ERR475491_2.fastq.gz	ERR475491
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475493/ERR475493_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475493/ERR475493_2.fastq.gz	ERR475493
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475494/ERR475494_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475494/ERR475494_2.fastq.gz	ERR475494
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475497/ERR475497_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475497/ERR475497_2.fastq.gz	ERR475497
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475501/ERR475501_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475501/ERR475501_2.fastq.gz	ERR475501
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475502/ERR475502_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475502/ERR475502_2.fastq.gz	ERR475502
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475506/ERR475506_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475506/ERR475506_2.fastq.gz	ERR475506
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475508/ERR475508_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475508/ERR475508_2.fastq.gz	ERR475508
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475510/ERR475510_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475510/ERR475510_2.fastq.gz	ERR475510
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475511/ERR475511_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475511/ERR475511_2.fastq.gz	ERR475511
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475512/ERR475512_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475512/ERR475512_2.fastq.gz	ERR475512
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475515/ERR475515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475515/ERR475515_2.fastq.gz	ERR475515
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475519/ERR475519_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475519/ERR475519_2.fastq.gz	ERR475519
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475521/ERR475521_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475521/ERR475521_2.fastq.gz	ERR475521
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475522/ERR475522_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475522/ERR475522_2.fastq.gz	ERR475522
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475523/ERR475523_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475523/ERR475523_2.fastq.gz	ERR475523
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475524/ERR475524_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475524/ERR475524_2.fastq.gz	ERR475524
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475529/ERR475529_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475529/ERR475529_2.fastq.gz	ERR475529
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475532/ERR475532_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475532/ERR475532_2.fastq.gz	ERR475532
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475534/ERR475534_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475534/ERR475534_2.fastq.gz	ERR475534
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475536/ERR475536_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475536/ERR475536_2.fastq.gz	ERR475536
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475539/ERR475539_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475539/ERR475539_2.fastq.gz	ERR475539
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475544/ERR475544_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475544/ERR475544_2.fastq.gz	ERR475544
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475547/ERR475547_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475547/ERR475547_2.fastq.gz	ERR475547
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475548/ERR475548_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475548/ERR475548_2.fastq.gz	ERR475548
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475549/ERR475549_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475549/ERR475549_2.fastq.gz	ERR475549
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475552/ERR475552_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475552/ERR475552_2.fastq.gz	ERR475552
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475553/ERR475553_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475553/ERR475553_2.fastq.gz	ERR475553
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475558/ERR475558_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475558/ERR475558_2.fastq.gz	ERR475558
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475563/ERR475563_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475563/ERR475563_2.fastq.gz	ERR475563
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475568/ERR475568_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475568/ERR475568_2.fastq.gz	ERR475568
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475569/ERR475569_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475569/ERR475569_2.fastq.gz	ERR475569
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475571/ERR475571_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475571/ERR475571_2.fastq.gz	ERR475571
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475574/ERR475574_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475574/ERR475574_2.fastq.gz	ERR475574
