fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915172/SRR6915172_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915172/SRR6915172_2.fastq.gz	SRR6915172
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915175/SRR6915175_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915175/SRR6915175_2.fastq.gz	SRR6915175
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915178/SRR6915178_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915178/SRR6915178_2.fastq.gz	SRR6915178
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915181/SRR6915181_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915181/SRR6915181_2.fastq.gz	SRR6915181
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915183/SRR6915183_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915183/SRR6915183_2.fastq.gz	SRR6915183
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915187/SRR6915187_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915187/SRR6915187_2.fastq.gz	SRR6915187
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915188/SRR6915188_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915188/SRR6915188_2.fastq.gz	SRR6915188
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915189/SRR6915189_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915189/SRR6915189_2.fastq.gz	SRR6915189
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915190/SRR6915190_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915190/SRR6915190_2.fastq.gz	SRR6915190
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915193/SRR6915193_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915193/SRR6915193_2.fastq.gz	SRR6915193
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915194/SRR6915194_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915194/SRR6915194_2.fastq.gz	SRR6915194
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915195/SRR6915195_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915195/SRR6915195_2.fastq.gz	SRR6915195
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915199/SRR6915199_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915199/SRR6915199_2.fastq.gz	SRR6915199
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915209/SRR6915209_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915209/SRR6915209_2.fastq.gz	SRR6915209
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915210/SRR6915210_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915210/SRR6915210_2.fastq.gz	SRR6915210
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915211/SRR6915211_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915211/SRR6915211_2.fastq.gz	SRR6915211
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915213/SRR6915213_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915213/SRR6915213_2.fastq.gz	SRR6915213
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915214/SRR6915214_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915214/SRR6915214_2.fastq.gz	SRR6915214
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915215/SRR6915215_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915215/SRR6915215_2.fastq.gz	SRR6915215
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915216/SRR6915216_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915216/SRR6915216_2.fastq.gz	SRR6915216
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915217/SRR6915217_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915217/SRR6915217_2.fastq.gz	SRR6915217
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915220/SRR6915220_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915220/SRR6915220_2.fastq.gz	SRR6915220
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915224/SRR6915224_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915224/SRR6915224_2.fastq.gz	SRR6915224
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_2.fastq.gz	SRR6915091
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_2.fastq.gz	SRR6915092
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_2.fastq.gz	SRR6915094
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_2.fastq.gz	SRR6915095
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_2.fastq.gz	SRR6915096
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_2.fastq.gz	SRR6915098
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_2.fastq.gz	SRR6915099
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_2.fastq.gz	SRR6915100
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915102/SRR6915102_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915102/SRR6915102_2.fastq.gz	SRR6915102
