fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688361/ERR688361.fastq.gz	ERR688361
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688366/ERR688366.fastq.gz	ERR688366
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688372/ERR688372.fastq.gz	ERR688372
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688377/ERR688377.fastq.gz	ERR688377
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688379/ERR688379.fastq.gz	ERR688379
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688381/ERR688381.fastq.gz	ERR688381
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688385/ERR688385.fastq.gz	ERR688385
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688388/ERR688388.fastq.gz	ERR688388
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688396/ERR688396.fastq.gz	ERR688396
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688401/ERR688401.fastq.gz	ERR688401
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688363/ERR688363.fastq.gz	ERR688363
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688402/ERR688402.fastq.gz	ERR688402
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688364/ERR688364.fastq.gz	ERR688364
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688403/ERR688403.fastq.gz	ERR688403
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688410/ERR688410.fastq.gz	ERR688410
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688412/ERR688412.fastq.gz	ERR688412
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688414/ERR688414.fastq.gz	ERR688414
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688421/ERR688421.fastq.gz	ERR688421
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688423/ERR688423.fastq.gz	ERR688423
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688424/ERR688424.fastq.gz	ERR688424
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688426/ERR688426.fastq.gz	ERR688426
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688428/ERR688428.fastq.gz	ERR688428
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688439/ERR688439.fastq.gz	ERR688439
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688440/ERR688440.fastq.gz	ERR688440
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688442/ERR688442.fastq.gz	ERR688442
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688445/ERR688445.fastq.gz	ERR688445
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688446/ERR688446.fastq.gz	ERR688446
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688449/ERR688449.fastq.gz	ERR688449
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688451/ERR688451.fastq.gz	ERR688451
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688452/ERR688452.fastq.gz	ERR688452
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688459/ERR688459.fastq.gz	ERR688459
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688461/ERR688461.fastq.gz	ERR688461
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688464/ERR688464.fastq.gz	ERR688464
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688466/ERR688466.fastq.gz	ERR688466
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688468/ERR688468.fastq.gz	ERR688468
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688470/ERR688470.fastq.gz	ERR688470
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688473/ERR688473.fastq.gz	ERR688473
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688484/ERR688484.fastq.gz	ERR688484
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688485/ERR688485.fastq.gz	ERR688485
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688488/ERR688488.fastq.gz	ERR688488
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688490/ERR688490.fastq.gz	ERR688490
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688493/ERR688493.fastq.gz	ERR688493
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688495/ERR688495.fastq.gz	ERR688495
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688496/ERR688496.fastq.gz	ERR688496
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688499/ERR688499.fastq.gz	ERR688499
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688501/ERR688501.fastq.gz	ERR688501
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688504/ERR688504.fastq.gz	ERR688504
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688508/ERR688508_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688508/ERR688508_2.fastq.gz	ERR688508
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688513/ERR688513_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688513/ERR688513_2.fastq.gz	ERR688513
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688515/ERR688515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688515/ERR688515_2.fastq.gz	ERR688515
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688516/ERR688516_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688516/ERR688516_2.fastq.gz	ERR688516
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688518/ERR688518_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688518/ERR688518_2.fastq.gz	ERR688518
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688520/ERR688520_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688520/ERR688520_2.fastq.gz	ERR688520
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688521/ERR688521_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688521/ERR688521_2.fastq.gz	ERR688521
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688524/ERR688524_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR688/ERR688524/ERR688524_2.fastq.gz	ERR688524
