fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/005/ERR1018185/ERR1018185_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/005/ERR1018185/ERR1018185_2.fastq.gz	ERR1018185
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018187/ERR1018187_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018187/ERR1018187_2.fastq.gz	ERR1018187
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018188/ERR1018188_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018188/ERR1018188_2.fastq.gz	ERR1018188
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/002/ERR1018192/ERR1018192_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/002/ERR1018192/ERR1018192_2.fastq.gz	ERR1018192
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018196/ERR1018196_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018196/ERR1018196_2.fastq.gz	ERR1018196
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018198/ERR1018198_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018198/ERR1018198_2.fastq.gz	ERR1018198
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/001/ERR1018201/ERR1018201_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/001/ERR1018201/ERR1018201_2.fastq.gz	ERR1018201
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/002/ERR1018202/ERR1018202_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/002/ERR1018202/ERR1018202_2.fastq.gz	ERR1018202
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/003/ERR1018203/ERR1018203_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/003/ERR1018203/ERR1018203_2.fastq.gz	ERR1018203
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018204/ERR1018204_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018204/ERR1018204_2.fastq.gz	ERR1018204
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018206/ERR1018206_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018206/ERR1018206_2.fastq.gz	ERR1018206
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018214/ERR1018214_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018214/ERR1018214_2.fastq.gz	ERR1018214
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/000/ERR1018220/ERR1018220_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/000/ERR1018220/ERR1018220_2.fastq.gz	ERR1018220
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018224/ERR1018224_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018224/ERR1018224_2.fastq.gz	ERR1018224
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018227/ERR1018227_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018227/ERR1018227_2.fastq.gz	ERR1018227
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/000/ERR1018230/ERR1018230_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/000/ERR1018230/ERR1018230_2.fastq.gz	ERR1018230
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018234/ERR1018234_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/004/ERR1018234/ERR1018234_2.fastq.gz	ERR1018234
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018236/ERR1018236_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/006/ERR1018236/ERR1018236_2.fastq.gz	ERR1018236
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018237/ERR1018237_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/007/ERR1018237/ERR1018237_2.fastq.gz	ERR1018237
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018238/ERR1018238_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR101/008/ERR1018238/ERR1018238_2.fastq.gz	ERR1018238
